MAGs	gene	start	end	Length	S	E	strand	orientation	contig
GCA_015493075.1	fructose-bisphosphatase	5523	6536	1013	5950	6963	1	-1	WGDV01000463.1_6
GCA_015493075.1	ribulose-phosphate 3-epimerase	3822	4577	755	7909	8664	1	-1	WGDV01000463.1_3
GCA_015493075.1	transaldolase	21872	22531	659	8764	9423	1	1	WGDV01000507.1_23
GCA_015491485.1	rbcL	8400	9875	1475	50	1525	1	-1	WFVT01000082.1_10
GCA_015491485.1	rbcS	8060	8374	314	1551	1865	1	-1	WFVT01000082.1_9
GCA_015491485.1	PRK	7085	8032	947	1893	2840	1	-1	WFVT01000082.1_8
GCA_015491485.1	transketolase	5016	7082	2066	2843	4909	1	-1	WFVT01000082.1_7
GCA_015491485.1	fructose-bisphosphate aldolase	3993	4958	965	4967	5932	1	-1	WFVT01000082.1_6
GCA_015491485.1	fructose-bisphosphatase	2962	3975	1013	5950	6963	1	-1	WFVT01000082.1_5
GCA_015491485.1	ribulose-phosphate 3-epimerase	1260	2015	755	7910	8665	1	-1	WFVT01000082.1_2
GCA_015491485.1	transaldolase	265	924	659	8765	9424	1	1	WFVT01000157.1_1
GCA_015488025.1	rbcL	1923	3398	1475	50	1525	1	-1	WFOR01000377.1_4
GCA_015488025.1	rbcS	1583	1897	314	1551	1865	1	-1	WFOR01000377.1_3
GCA_015488025.1	PRK	608	1555	947	1893	2840	1	-1	WFOR01000377.1_2
GCA_015488025.1	transketolase	3	611	608	2837	3445	1	-1	WFOR01000377.1_1
GCA_015488025.1	transketolase	4110	5720	1610	3545	5155	1	-1	WFOR01000008.1_7
GCA_015488025.1	fructose-bisphosphate aldolase	3087	4052	965	5213	6178	1	-1	WFOR01000008.1_6
GCA_015488025.1	fructose-bisphosphatase	2056	3069	1013	6196	7209	1	-1	WFOR01000008.1_5
GCA_015488025.1	ribulose-phosphate 3-epimerase	355	1110	755	8155	8910	1	-1	WFOR01000008.1_2
GCA_015488025.1	transaldolase	40807	41466	659	9010	9669	1	-1	WFOR01000453.1_38
GCA_015490205.1	rbcL	8800	10275	1475	50	1525	1	-1	WFYE01000001.1_10
GCA_015490205.1	rbcS	8460	8774	314	1551	1865	1	-1	WFYE01000001.1_9
GCA_015490205.1	PRK	7485	8432	947	1893	2840	1	-1	WFYE01000001.1_8
GCA_015490205.1	transketolase	5416	7482	2066	2843	4909	1	-1	WFYE01000001.1_7
GCA_015490205.1	fructose-bisphosphate aldolase	4393	5358	965	4967	5932	1	-1	WFYE01000001.1_6
GCA_015490205.1	fructose-bisphosphatase	3362	4375	1013	5950	6963	1	-1	WFYE01000001.1_5
GCA_015490205.1	ribulose-phosphate 3-epimerase	1661	2416	755	7909	8664	1	-1	WFYE01000001.1_2
GCA_015490205.1	transaldolase	14711	15370	659	8764	9423	1	-1	WFYE01000324.1_18
GCA_015492895.1	rbcL	638	2089	1451	50	1501	1	1	WGEF01000744.1_2
GCA_015492895.1	rbcS	2143	2448	305	1555	1860	1	1	WGEF01000744.1_3
GCA_015492895.1	PRK	2476	3423	947	1888	2835	1	1	WGEF01000744.1_4
GCA_015492895.1	transketolase	3426	5474	2048	2838	4886	1	1	WGEF01000744.1_5
GCA_015492895.1	fructose-bisphosphate aldolase	5517	6485	968	4929	5897	1	1	WGEF01000744.1_6
GCA_015492895.1	fructose-bisphosphatase	6507	7325	818	5919	6737	1	1	WGEF01000744.1_7
GCA_015492895.1	ribulose-phosphate 3-epimerase	351	1025	674	6837	7511	1	1	WGEF01000407.1_2
GCA_015492895.1	ribulose-phosphate 3-epimerase	1161	1931	770	7611	8381	1	-1	WGEF01000601.1_1
GCA_015492895.1	transaldolase	1708	2370	662	8481	9143	1	1	WGEF01000205.1_4
