	ZMQR_201803_bins_22	JZ4_201709_bins_165	JZ2_201912_bins_68	JZ2_201808_bins_10	JZ2_201907_bins_186	JZ2_202101_bins_52	JZ4_201803_bins_290	JZ2_201901_bins_130	JZ2_202007_bins_144	JZ1_202101_bins_37	JZ4_201808_bins_213	GCA_013359425.1	GCA_003576975.1	GCA_014338045.1	GCA_013359385.1	GCA_008363195.1	GCA_011047125.1	JZ2_202007_bins_101	JZ1_202101_bins_107	JZ2_202101_bins_2	JZ4_201709_bins_45	JZ4_201803_bins_110	JZ4_201808_bins_140	GCA_011375275.1	GCA_015485525.1	GCA_015487885.1	GCA_015492145.1	GCA_015490415.1	GCA_015491795.1	GCA_008501765.1	GCA_015485555.1	GCA_015493075.1	GCA_015491485.1	GCA_015488025.1	GCA_015490205.1	GCA_015492895.1	GCA_004356135.1	GCA_004356825.1	GCA_011774205.1	GCA_011777055.1	GCA_016928635.1	GCA_016929295.1	GCA_016928775.1	SRBZ_201705_bins_74	DPZ2_202101_bins_149	GCA_003818595.1	GCA_016934825.1	GCA_011682565.1	GCA_013152225.1	GCA_001771235.1	GCA_002327255.1	GCA_012523655.1	GCA_016929055.1	GCA_014728115.1	GCA_014728085.1	SZTDM2_201709_bins_136	JZ2_201705_bins_85	JZ2_201907_bins_62	JZ2_201808_bins_48	JZ4_201808_bins_132	GCA_014359355.1	GCA_011389025.1	JZ2_201709_bins_23	GCA_013152765.1	JZ4_201709_bins_129	JZ4_201808_bins_206	JZ2_201705_bins_219	JZ4_201803_bins_238	JZ4_201803_bins_154	GCA_011046315.1	GCA_016783825.1	GCA_014729735.1	GCA_016931935.1	GCA_016926625.1	GCA_016927835.1
JZ4_201808_bins_213	99.9729	99.9982	99.9977	99.9966	99.9996	99.9987	99.9993	99.9955	99.9932	99.997	100	84.0933	74.2352	74.2832	74.4377	74.4145	70.0332	70.6264	70.846	70.8542	69.7688	69.6504	69.8122	66.3828	66.1948	66.083	66.0752	66.1014	66.2143	63.7296	66.8981	66.7185	66.6794	66.8349	67.0002	65.9227	64.5105	64.3745	65.1643	65.1643	64.2684	63.9446	63.3426	64.7882	65.1628	63.2615	63.007	63.2121	63.2106	64.175	64.9945	64.5549	63.7886	62.7137	63.0568	64.6128	64.7019	64.8236	64.8177	64.7604	64.8187	64.6871	64.8579	65.0297	63.8575	63.7575	63.9526	63.6526	64.1699	63.4137	62.5778	63.2989	63.3716	63.3268	63.4005
GCA_013359425.1	84.1292	83.9807	84.0927	84.0913	84.1039	84.0097	84.0822	84.0373	84.1467	84.11	84.0933	100	75.967	75.7983	76.0373	75.963	70.2112	70.6284	70.5291	70.7015	69.9816	70.0559	70.0425	65.9886	65.9116	65.8945	65.8964	65.9875	65.9463	63.8614	66.5662	66.4392	66.2094	66.489	66.5229	65.7193	64.5584	64.5747	65.0942	65.0942	64.5178	64.2415	63.5346	64.8938	64.8687	63.6524	63.5179	63.3248	63.6554	64.3222	65.1184	64.5809	63.7363	62.8789	63.4095	64.3224	64.5103	64.4784	64.6766	64.6425	64.9027	64.8457	64.5977	65.1981	64.2099	64.2433	64.0958	63.9122	64.4177	63.5249	62.4618	63.1824	63.3855	63.4908	63.7604
GCA_003576975.1	74.245	74.2293	74.2008	74.197	74.1713	74.2378	74.2281	74.2968	74.2576	74.2055	74.2352	75.967	100	96.5773	96.4058	96.6802	70.7816	70.9409	70.9218	70.9262	69.8861	69.8771	69.9158	65.7475	65.7167	65.5393	65.3968	65.5405	65.5599	64.063	66.2215	66.0883	65.9985	65.9722	66.1797	65.5166	65.0912	64.9611	65.1133	65.1133	64.037	64.0181	63.6568	64.5563	64.6901	63.8205	63.5677	63.5224	63.7962	64.0348	64.3483	64.2795	63.7973	63.3491	63.5562	63.8515	64.1166	63.9477	64.1672	63.9555	64.1966	64.2624	63.998	64.6734	64.2231	64.3371	64.2914	64.0421	64.4171	63.7221	63.3367	63.4562	63.8557	63.7283	63.8328
GCA_014338045.1	74.2634	74.3025	74.4266	74.3657	74.2822	74.2479	74.311	74.2812	74.3988	74.3282	74.2832	75.8014	96.5773	100	95.9066	99.8875	70.7792	70.9634	70.9581	70.9127	69.919	69.7177	69.9299	65.5351	65.5245	65.4463	65.3962	65.5427	65.3798	63.9453	66.2745	66.0652	66.0145	66.0711	66.1501	65.4826	64.9203	64.9029	65.1101	65.1101	64.005	63.8673	63.6402	64.3582	64.6145	63.6846	63.3426	63.6071	63.611	64.5821	64.4586	63.8464	63.7927	63.1667	63.6282	63.7963	64.0571	64.1744	63.9452	63.7924	64.2973	64.4488	64.1575	64.4203	64.0592	64.2874	64.2297	64.1317	64.321	63.5053	63.0131	63.5462	64.1909	63.5224	63.7741
GCA_013359385.1	74.3523	74.4651	74.3822	74.448	74.414	74.3496	74.3907	74.4335	74.393	74.2491	74.4337	76.0373	96.4058	95.9066	100	96.0089	70.9377	70.8753	70.9042	70.8137	69.6303	69.6562	69.6681	65.6151	65.5472	65.5297	65.3822	65.4619	65.4695	63.7586	66.1345	66.0417	65.8849	66.0288	66.0071	65.5067	64.7589	64.7619	65.1959	65.1959	63.8619	64.0563	63.443	64.5816	64.4746	63.5595	63.5368	63.3697	63.4802	64.4845	64.4397	63.9626	63.8165	62.9491	63.0269	63.7736	63.7984	63.9818	64.0438	63.8006	64.4654	63.7899	63.7851	64.305	64.231	64.0106	64.0092	63.9157	64.4178	63.7034	63.0201	63.4269	63.8036	63.6297	63.6332
GCA_008363195.1	74.3733	74.4715	74.3875	74.396	74.3185	74.398	74.3921	74.3849	74.3179	74.2555	74.4131	75.963	96.6802	99.8875	96.0089	100	70.8388	71.019	71.0593	70.9713	69.956	69.8339	69.939	65.7071	65.6078	65.5217	65.4648	65.6073	65.6137	63.8771	66.1898	66.1327	66.0736	66.1206	66.3302	65.656	64.7584	64.8741	65.225	65.225	64.236	64.0513	63.5071	64.5479	64.686	63.6556	63.6567	63.5238	63.6259	64.7289	64.4694	64.0916	63.6778	63.1713	63.5358	63.9586	63.9336	63.8775	63.9415	63.8926	64.3597	64.1998	64.1556	64.4723	64.3658	64.3287	64.376	63.9746	64.3455	63.5817	63.0434	63.656	64.1006	63.7898	63.9882
GCA_011047125.1	69.9365	70.1224	70.0553	70.028	70.0739	69.9402	69.9428	70.0079	69.9778	70.0517	70.0342	70.2112	70.778	70.7753	70.9377	70.8388	100	87.1988	87.2558	87.1382	75.0492	75.1337	75.0531	66.1402	65.862	65.7784	65.8183	65.8612	65.844	64.0151	66.6604	66.8085	66.558	66.6302	66.7267	65.8822	65.2114	65.1454	65.6343	65.6343	64.2277	64.2209	63.9964	65.0063	65.0333	63.9283	63.335	63.6965	64.027	64.2784	64.8248	64.3875	64.1681	63.1568	63.356	64.1384	64.3519	64.4541	64.4458	64.121	64.4464	64.4079	64.2	65.0531	64.2559	64.1381	64.1422	63.9021	64.4171	63.747	62.9476	63.9881	63.5137	63.4451	63.7693
JZ2_202007_bins_101	70.604	70.7632	70.6498	70.8126	70.7843	70.7223	70.6866	70.6993	70.7269	70.5683	70.6264	70.6284	70.9409	70.9634	70.8753	71.0184	87.1988	100	99.9896	99.9953	75.7802	75.563	75.6039	66.1177	65.9183	65.9449	65.9963	65.8923	65.9412	64.436	66.8411	66.6976	66.6603	66.7037	66.7657	65.9722	65.3824	65.1957	65.5557	65.5557	64.3415	64.2994	63.8117	65.129	65.2001	63.6595	63.4964	64.1758	64.2415	64.59	64.5791	64.6463	63.9396	63.1369	63.4073	64.2719	64.3865	64.3592	64.2234	63.9837	64.7139	64.1632	64.3292	64.6144	64.4794	64.2721	64.287	64.1229	64.5391	63.9948	63.1341	63.7312	63.4961	63.8295	63.8564
JZ1_202101_bins_107	70.6767	70.9169	70.9156	70.9626	71.0273	70.7968	70.8851	70.8411	70.8099	70.6993	70.8442	70.5291	70.9168	70.9581	70.9092	71.0593	87.2558	99.9896	100	99.9911	75.7224	75.5089	75.6272	66.1598	65.8025	65.9161	65.8545	65.7487	65.8686	64.2227	66.9036	66.7682	66.6862	66.7229	66.7599	65.8334	65.2673	65.2214	65.4739	65.4739	64.3196	64.2266	63.9008	65.039	65.0398	63.7076	63.4242	63.8901	64.2265	64.3446	64.6987	64.3592	64.0641	63.0668	63.3376	64.3364	64.4705	64.3914	64.3111	64.1948	64.4474	64.4012	64.2092	64.6986	64.2773	64.2223	64.2852	63.8851	64.408	63.9622	63.1931	63.818	63.397	63.6087	63.7345
JZ2_202101_bins_2	70.699	70.9015	70.9339	70.9025	71.035	70.9088	70.8947	70.8647	70.8532	70.7158	70.8542	70.6975	70.9262	70.9127	70.8191	70.9713	87.1379	99.9953	99.9911	100	75.8444	75.6637	75.7567	66.0091	65.8228	65.9178	65.8502	65.6755	65.9436	64.228	66.7096	66.7303	66.557	66.6723	66.6746	65.8173	65.2704	65.1935	65.4604	65.4604	64.439	64.163	63.7625	65.0839	64.9792	63.6258	63.5526	63.8577	64.1369	64.3238	64.5737	64.548	64.0132	63.001	63.2159	64.2203	64.3292	64.2834	64.1831	63.9858	64.6762	64.3481	64.1731	64.6142	64.3108	64.208	64.1971	63.8289	64.5385	63.9693	63.1702	63.5544	63.6183	63.5998	63.7995
JZ4_201709_bins_45	69.6855	69.7456	69.7679	69.7861	69.9217	69.8715	69.8648	69.8411	69.8987	69.6075	69.7688	69.9816	69.8811	69.9217	69.6303	69.9583	75.0492	75.7802	75.7224	75.8405	100	99.9702	99.9708	65.641	65.8864	65.3254	65.5201	65.5553	65.5642	63.8333	66.5539	66.3845	66.1954	66.444	66.2046	65.7637	64.6869	64.6101	65.0634	65.0634	64.0889	64.1533	63.8132	64.6702	64.9218	63.7477	63.5211	63.6605	63.9133	65.005	64.7721	64.1754	63.9502	63.1991	63.5077	64.3529	64.4011	64.3891	64.306	64.506	64.7676	64.4271	63.9931	64.5624	64.8984	64.9693	65.0285	64.7946	65.3645	63.8572	63.6097	63.8405	64.148	64.3261	64.1569
JZ4_201803_bins_110	69.5947	69.7557	69.7229	69.7674	69.6899	69.7152	69.5497	69.6478	69.7127	69.5902	69.6518	70.0601	69.8747	69.7124	69.6562	69.8339	75.1337	75.563	75.5089	75.6637	99.9702	100	99.9745	65.625	65.7501	65.3877	65.4082	65.4738	65.5536	63.9204	66.5387	66.3834	66.256	66.3407	66.3541	65.5803	64.6913	64.6389	65.0758	65.0758	64.031	64.4906	63.9794	64.5983	64.9433	63.733	63.5991	63.7211	63.8313	65.0047	64.6854	64.1433	64.0958	63.3906	63.275	64.3735	64.3705	64.2716	64.5126	64.5205	64.9275	64.4884	64.1782	64.5359	64.88	65.0118	65.1086	64.6511	65.1158	63.927	63.7494	63.8044	64.2129	64.2511	64.1649
JZ4_201808_bins_140	69.7465	69.8721	69.7807	69.6778	69.7626	69.8475	69.7434	69.8141	69.84	69.6641	69.8098	70.0425	69.9158	69.9292	69.6681	69.937	75.0531	75.6039	75.6272	75.7567	99.9708	99.9745	100	65.7321	65.6934	65.4556	65.4586	65.4252	65.5858	63.9666	66.457	66.3728	66.1019	66.356	66.3259	65.7019	64.8503	64.535	65.0766	65.0766	64.1717	64.124	63.8339	64.757	65.0148	63.7528	63.6736	63.6894	63.8714	65.1405	64.7296	64.1089	64.0359	63.295	63.4444	64.4289	64.4495	64.3044	64.4488	64.6241	64.9332	64.577	64.0792	64.5243	64.8503	64.9298	65.1122	64.5902	65.1426	63.9105	63.5511	63.838	64.1992	64.2	64.2123
GCA_011375275.1	66.1963	66.4067	66.4881	66.3734	66.2831	66.3129	66.3819	66.1864	66.305	66.2182	66.3828	65.9886	65.7475	65.5351	65.6151	65.7071	66.1402	66.1169	66.1579	66.0091	65.641	65.625	65.7321	100	95.2448	95.2137	95.201	95.2521	95.2379	65.4858	67.294	67.3608	67.1135	67.6484	67.3826	66.6951	64.5155	64.2938	64.6029	64.6029	64.1735	64.2659	63.8541	64.6664	64.2958	64.0522	63.1304	63.4181	63.6894	63.9909	64.5946	64.2674	63.952	63.6498	63.6238	64.1508	64.1239	64.2038	64.0922	64.1947	64.2347	63.7987	63.6637	64.4015	63.6183	63.753	63.5398	63.5366	63.9059	63.5099	62.8855	63.3522	63.1222	63.7877	63.7611
GCA_015485525.1	66.3358	66.0673	66.0499	66.3176	66.2096	66.3732	66.3923	66.1919	66.3193	66.158	66.1979	65.9116	65.7167	65.5245	65.5487	65.6129	65.862	65.922	65.8025	65.8228	65.8864	65.7426	65.6934	95.2448	100	99.5586	99.5236	99.5171	99.512	65.4298	67.3099	67.4216	66.9695	67.2254	67.3046	66.6965	64.2329	64.314	64.6319	64.6319	64.0171	63.9459	63.6613	64.2177	64.3518	63.6414	63.2574	63.7261	63.8835	63.6971	64.0745	64.1632	63.752	63.6587	63.5142	63.8483	63.9828	63.541	63.8715	63.7183	64.193	63.9036	63.5573	64.1718	63.6722	63.8482	63.6728	63.4975	63.8291	63.5678	62.8788	63.6056	63.0785	63.025	63.4337
GCA_015487885.1	66.1747	66.0782	66.2504	66.136	66.1813	66.0804	66.2259	66.0778	66.0527	66.1375	66.083	65.8945	65.5393	65.4497	65.5252	65.5258	65.7745	65.9449	65.9161	65.9178	65.3287	65.3877	65.4556	95.2137	99.5586	100	99.4829	99.505	99.4569	65.3379	67.1773	67.2307	66.9666	67.129	67.0932	66.5504	64.0713	64.2174	64.5714	64.5714	63.9877	64.0946	63.8841	64.1931	64.2927	63.5376	63.1524	63.4355	63.7698	63.8594	64.3347	64.0662	63.616	63.6743	63.6204	63.8075	63.6983	63.8399	63.8943	63.91	64.1601	63.5682	63.4427	64.2748	63.6902	63.5139	63.5054	63.4359	63.562	63.2061	62.8295	63.2767	63.3997	63.1428	63.4795
GCA_015492145.1	66.137	66.1116	66.1128	66.1353	66.0887	66.1205	66.1584	66.0876	66.1225	65.9578	66.078	65.8953	65.3968	65.3962	65.3822	65.4648	65.8133	65.9999	65.8545	65.8502	65.5201	65.4082	65.4582	95.201	99.5236	99.4829	100	99.5108	99.4492	65.3708	67.3229	67.2591	67.0596	67.3933	67.217	66.6227	64.1836	64.3791	64.5362	64.5362	63.9316	63.9317	63.6843	64.2536	64.2363	63.666	63.1432	63.4914	63.9054	63.9566	64.2024	63.9173	63.8176	63.5972	63.5843	63.8756	63.877	63.8127	63.9197	63.9081	64.2474	63.7759	63.3711	64.4154	63.618	63.5338	63.3558	63.3399	63.7157	63.4116	62.8812	63.5419	63.2295	63.4205	63.3907
GCA_015490415.1	66.0196	66.1224	66.217	66.3465	66.2478	66.2418	66.1293	66.1631	65.9858	66.0554	66.1014	65.9875	65.5405	65.5427	65.4619	65.6071	65.8573	65.8914	65.7485	65.6755	65.5594	65.4718	65.4301	95.2521	99.5171	99.505	99.5108	100	99.4687	65.5106	67.4076	67.3582	67.1469	67.1352	67.1346	66.627	64.2257	64.201	64.5517	64.5517	64.0127	63.9454	63.6546	64.3524	64.5259	63.7529	63.3405	63.55	63.5269	63.6049	64.3551	64.1608	63.5882	63.4457	63.2762	63.7342	63.7353	63.7085	63.9464	63.8475	64.1353	63.7053	63.6268	64.2721	63.377	63.6156	63.414	63.398	63.5101	63.2539	62.789	63.409	63.2846	63.4745	63.3154
GCA_015491795.1	66.3318	66.188	66.3036	66.2496	66.2995	66.3351	66.3348	66.2774	66.2531	66.2721	66.2175	65.9461	65.5599	65.3798	65.4708	65.6137	65.8399	65.9448	65.8686	65.9436	65.5642	65.5497	65.5858	95.2379	99.512	99.4569	99.4492	99.4687	100	65.4609	67.344	67.3764	67.024	67.2761	67.2173	66.699	64.153	64.3024	64.5647	64.5647	64.0773	63.9785	63.7053	64.286	64.2738	63.5006	63.1528	63.594	63.7169	63.7928	64.3062	63.9664	63.7251	63.3831	63.4049	63.7118	63.6937	63.7423	63.9511	63.701	64.2394	63.8542	63.4062	64.2255	63.5281	63.6315	63.5091	63.3288	63.8002	63.4961	63.0876	63.7084	63.3008	63.3179	63.4639
GCA_008501765.1	63.6681	63.7611	63.7491	63.841	63.7408	63.7539	63.7181	63.8188	63.7914	63.5885	63.7296	63.8614	64.0635	63.9453	63.7586	63.8771	64.0138	64.436	64.2227	64.2235	63.8395	63.9208	63.9584	65.4858	65.4298	65.336	65.369	65.5106	65.46	100	65.004	64.914	64.9547	64.9617	64.8356	64.4033	63.9502	63.9175	63.7747	63.7747	63.0943	63.2385	63.2111	63.1686	63.2377	63.1614	63.1328	63.6431	63.7347	63.155	63.257	62.7794	63.1415	63.2763	62.9909	62.234	62.4258	62.5984	62.6979	62.418	62.5065	62.2003	61.8692	62.2964	63.1415	63.0876	63.0623	63.0524	63.1336	63.0928	63.6519	63.3177	63.2033	62.7388	63.5711
GCA_015485555.1	66.9935	66.9844	66.94	67.0188	66.9246	67.0649	66.9426	66.9327	67.0663	67.0589	66.8981	66.5662	66.2257	66.2745	66.1293	66.1898	66.6604	66.8411	66.9036	66.7096	66.5556	66.5387	66.4556	67.289	67.3094	67.1773	67.3181	67.4076	67.3522	65.004	100	99.1551	99.2705	99.3297	99.2552	70.859	64.7797	64.6051	65.3824	65.3824	64.2435	63.9899	63.5473	64.6793	64.6109	63.2505	63.7768	63.6943	63.8432	64.253	64.3926	64.0834	64.0244	63.4785	63.7262	64.162	64.2973	63.9873	64.4139	64.164	64.6944	64.4138	64.3544	64.957	64.1466	63.9972	63.9313	63.7967	64.3739	63.8347	63.2596	63.9849	63.6648	63.5441	63.9095
GCA_015493075.1	66.8452	66.8596	66.7913	66.868	66.7309	66.7906	66.7227	66.7165	66.818	66.8118	66.723	66.4449	66.094	66.0652	66.0417	66.1326	66.8085	66.6976	66.7682	66.7345	66.3906	66.3781	66.3728	67.3596	67.4216	67.2307	67.2591	67.3608	67.3783	64.914	99.1551	100	99.2915	99.2606	99.2228	70.6898	64.673	64.4537	65.2511	65.2511	64.18	64.1096	63.6092	64.5788	64.5862	63.2786	63.568	63.6092	63.7563	63.9986	64.2746	64.1321	63.7748	63.3338	63.6217	64.0086	64.1022	63.9205	64.3458	63.9343	64.5375	64.4516	64.5863	64.9475	64.156	64.0585	63.9626	63.8849	64.2083	63.8312	63.1016	63.8649	63.6746	63.5197	64.0076
