	ZMQR_201803_bins_22	JZ4_201709_bins_165	JZ2_201912_bins_68	JZ2_201808_bins_10	JZ2_201907_bins_186	JZ2_202101_bins_52	JZ4_201803_bins_290	JZ2_201901_bins_130	JZ2_202007_bins_144	JZ1_202101_bins_37	JZ4_201808_bins_213	GCA_013359425.1	GCA_003576975.1	GCA_014338045.1	GCA_013359385.1	GCA_008363195.1	GCA_011047125.1	JZ2_202007_bins_101	JZ1_202101_bins_107	JZ2_202101_bins_2	JZ4_201709_bins_45	JZ4_201803_bins_110	JZ4_201808_bins_140	GCA_011375275.1	GCA_015485525.1	GCA_015487885.1	GCA_015492145.1	GCA_015490415.1	GCA_015491795.1	GCA_008501765.1	GCA_015485555.1	GCA_015493075.1	GCA_015491485.1	GCA_015488025.1	GCA_015490205.1	GCA_015492895.1	GCA_004356135.1	GCA_004356825.1	GCA_011774205.1	GCA_011777055.1	GCA_016928635.1	GCA_016929295.1	GCA_016928775.1	SRBZ_201705_bins_74	DPZ2_202101_bins_149	GCA_003818595.1	GCA_016934825.1	GCA_011682565.1	GCA_013152225.1	GCA_001771235.1	GCA_002327255.1	GCA_012523655.1	GCA_016929055.1	GCA_014728115.1	GCA_014728085.1	SZTDM2_201709_bins_136	JZ2_201705_bins_85	JZ2_201907_bins_62	JZ2_201808_bins_48	JZ4_201808_bins_132	GCA_014359355.1	GCA_011389025.1	JZ2_201709_bins_23	GCA_013152765.1	JZ4_201709_bins_129	JZ4_201808_bins_206	JZ2_201705_bins_219	JZ4_201803_bins_238	JZ4_201803_bins_154	GCA_011046315.1	GCA_016783825.1	GCA_014729735.1	GCA_016931935.1	GCA_016926625.1	GCA_016927835.1
JZ4_201808_bins_213	99.93849	99.993833	99.986481	99.98973	99.989212	99.985948	99.997015	99.989418	99.984894	99.971253	100	85.494069	74.131278	74.18366	74.291723	74.23907	64.015525	64.93422	65.073731	65.130072	64.369686	64.060227	64.229104	57.196069	57.004167	57.017053	56.983278	57.129799	56.967848	54.912738	58.279563	58.300431	58.124546	58.358798	58.292664	58.059919	56.923006	56.478836	57.216763	57.216763	52.99649	53.184736	53.340391	53.835722	54.043235	53.193421	53.076026	53.611944	53.603668	53.713507	53.759808	53.638223	53.160075	52.716947	52.820883	54.586268	54.44272	54.563775	54.51113	54.604629	54.672812	54.538928	54.75136	55.093198	54.851679	54.724752	54.59561	54.78805	54.595161	53.555284	53.412798	54.195012	53.634681	54.262545	53.366585
GCA_013359425.1	85.560364	85.48758	85.503946	85.497855	85.499492	85.512193	85.494269	85.493831	85.517971	85.496742	85.494069	100	75.447129	75.519884	75.872709	75.554957	63.742539	64.240299	64.208409	64.215033	64.300307	64.206801	64.278819	56.755849	56.581055	56.576171	56.558932	56.727861	56.553675	54.831697	57.70474	57.777711	57.640344	57.824061	57.830663	57.77863	56.688694	56.4185	56.754245	56.754245	53.002583	53.223687	53.109694	53.63791	53.780133	53.220164	53.683944	53.442937	53.307342	54.260246	53.546044	53.511883	53.248449	52.334739	52.735614	54.335736	54.313146	54.408787	54.43739	54.311012	54.363348	54.522195	54.58033	54.989128	54.747887	54.588349	54.472424	54.655806	54.557363	53.551316	53.68184	54.10266	53.618118	54.415889	53.350453
GCA_003576975.1	74.051566	74.191601	74.128595	74.134167	74.124713	74.123709	74.128392	74.124602	74.144916	74.079572	74.131278	75.447129	100	96.80833	96.410558	96.851893	64.709663	64.925297	64.941334	64.960842	64.583235	64.473301	64.491807	56.872209	56.762356	56.668549	56.598276	56.767373	56.579728	54.715385	57.501008	57.565456	57.422162	57.544211	57.597619	57.42656	56.974053	56.899622	57.281668	57.281668	53.087394	53.476663	53.217296	53.682658	54.082759	53.360888	53.926106	53.632692	53.735231	54.485903	53.481019	53.650888	52.940169	52.494709	53.2422	54.038841	54.166836	54.141366	54.187367	54.060216	54.374334	54.225779	54.479659	54.789744	54.902944	54.831623	54.731229	54.881759	54.419713	53.644162	53.756974	54.184314	54.151471	54.42698	53.590942
GCA_014338045.1	74.148283	74.19868	74.195972	74.162019	74.175177	74.18756	74.182489	74.17856	74.193997	74.125209	74.18366	75.519884	96.80833	100	95.889977	99.825414	64.797767	65.046764	65.061341	65.07956	64.389961	64.29349	64.339978	56.921754	56.6709	56.568207	56.535161	56.647506	56.524205	54.822843	57.539281	57.602472	57.560632	57.625968	57.68618	57.717414	57.075197	56.874171	57.165921	57.165921	53.159567	53.404841	53.219185	53.628972	53.782592	53.439036	53.753303	53.680335	53.66443	54.459954	53.513247	53.58932	52.950496	52.585308	53.004968	54.222314	54.079641	53.997272	54.08633	54.001843	54.43434	54.379372	54.622788	54.855605	54.926233	55.009114	54.684728	54.962308	54.798665	53.762514	53.954083	54.380877	54.201377	54.538902	53.489402
GCA_013359385.1	74.13661	74.289391	74.2958	74.276612	74.300324	74.291675	74.301814	74.30512	74.306971	74.240888	74.291723	75.872709	96.410558	95.889977	100	96.097005	65.067097	65.13506	65.199621	65.183274	64.556641	64.482144	64.543545	56.719934	56.565342	56.538659	56.486245	56.65255	56.47302	54.583212	57.610707	57.612979	57.627762	57.690742	57.709177	57.627759	56.835673	56.777981	57.019532	57.019532	53.064751	53.610244	53.274605	53.65794	53.733522	53.335212	53.790523	53.654056	53.734899	54.620638	53.619938	53.680389	53.04488	52.529403	53.124185	54.134124	54.09815	54.094452	54.237012	54.118781	54.20005	54.305945	54.425694	54.893962	54.835592	54.8059	54.653724	54.763866	54.577665	53.679731	53.51557	54.206491	53.99899	54.627197	53.715322
GCA_008363195.1	74.206915	74.26745	74.248039	74.223155	74.236002	74.247788	74.242914	74.23918	74.24971	74.192356	74.23907	75.554957	96.851893	99.825414	96.097005	100	64.699666	64.989592	65.016343	65.03135	64.339118	64.215811	64.268375	56.85145	56.647053	56.568241	56.488738	56.649411	56.515874	54.689155	57.471208	57.551292	57.521321	57.582528	57.590246	57.640939	56.988394	56.87165	57.055234	57.055234	53.033147	53.239687	53.130339	53.557174	53.711888	53.234814	53.644208	53.826327	53.722437	54.311255	53.472287	53.501399	52.949526	52.486053	52.88954	54.021983	53.937561	53.90739	54.019253	53.948772	54.227229	54.239554	54.449896	54.881802	54.838904	54.787572	54.598192	54.695352	54.740126	53.567002	53.733972	54.286514	54.135191	54.400501	53.5348
GCA_011047125.1	63.736874	64.110454	64.008105	64.018366	64.013529	64.016814	64.039752	64.018522	64.017297	63.9363	64.015525	63.742539	64.709663	64.797767	65.067097	64.699666	100	86.879369	86.862001	86.807834	73.76737	73.765476	73.809412	57.06607	56.748871	56.67515	56.725068	56.835405	56.6123	54.677422	58.164105	58.178015	58.095616	58.207473	58.290884	58.392183	57.5768	57.188596	57.562727	57.562727	53.336579	53.475394	53.532814	54.047836	54.145259	53.325452	53.718337	53.987958	54.229507	54.081536	53.549677	53.657539	53.436037	52.897522	52.888727	54.682766	54.488127	54.730727	54.479398	54.783252	54.857128	54.334521	54.465655	54.980539	54.921442	54.67001	54.758047	54.874897	54.585127	53.658781	53.815941	54.403653	53.680019	54.222046	53.728353
JZ2_202007_bins_101	64.654709	65.048188	64.959785	64.937231	64.936522	64.941162	64.93787	64.938479	64.903075	64.740156	64.93422	64.240299	64.925297	65.046764	65.13506	64.989592	86.879369	100	99.993899	99.979231	74.763292	74.526651	74.685035	57.047036	56.909826	56.879583	56.896762	56.999196	56.764267	54.96488	58.417654	58.478039	58.39744	58.487848	58.565488	58.086541	57.612523	57.355922	57.604043	57.604043	53.617024	53.684573	53.594811	54.290427	54.433063	53.638882	53.924453	54.375	54.059938	54.197907	53.614718	53.799509	53.722867	53.017313	53.293575	54.613297	54.538778	54.668758	54.510744	54.716567	54.815181	54.464521	54.635152	55.467981	55.148858	54.98185	54.997983	55.003166	54.911939	54.054839	53.902955	54.317873	53.872596	54.039938	53.836351
JZ1_202101_bins_107	64.689828	65.18792	65.108564	65.076839	65.079245	65.087635	65.081709	65.082308	65.051323	64.867547	65.073731	64.208409	64.941334	65.061341	65.199621	65.016343	86.862001	99.993899	100	99.989922	74.735362	74.532298	74.73047	57.028089	56.860243	56.845949	56.856316	56.982404	56.714135	54.930686	58.409953	58.475519	58.381521	58.462227	58.557494	58.046773	57.605931	57.360265	57.596647	57.596647	53.571438	53.588424	53.569214	54.183007	54.39148	53.599158	53.864116	54.286541	54.05264	54.174264	53.56717	53.756189	53.666818	53.000802	53.179018	54.602532	54.521286	54.628922	54.491373	54.679689	54.787622	54.431728	54.597965	55.43076	55.118744	54.934459	54.957922	54.947677	54.890283	54.030642	53.917169	54.343446	53.832334	54.018596	53.812772
JZ2_202101_bins_2	64.693931	65.24364	65.167727	65.112375	65.132869	65.168526	65.128645	65.132597	65.102299	64.879368	65.130072	64.215033	64.960842	65.07956	65.183274	65.03135	86.807834	99.979231	99.989922	100	74.763794	74.562053	74.718472	57.021938	56.857964	56.832753	56.854211	56.967338	56.712918	54.935272	58.381315	58.446065	58.360125	58.447882	58.527495	58.034421	57.568207	57.335702	57.561467	57.561467	53.594356	53.611655	53.563212	54.266877	54.390983	53.59381	53.88866	54.286752	54.04468	54.177856	53.563005	53.788883	53.648589	53.010553	53.236105	54.617991	54.517331	54.624043	54.485639	54.67944	54.804767	54.435317	54.600313	55.433155	55.095484	54.915134	54.934762	54.928931	54.880433	54.01032	53.926079	54.335529	53.848574	54.15681	53.819253
JZ4_201709_bins_45	64.099905	64.382961	64.38338	64.412159	64.428919	64.311321	64.415039	64.420523	64.396238	64.206766	64.369686	64.300307	64.583235	64.389961	64.556641	64.339118	73.76737	74.763292	74.735362	74.763794	100	99.94249	99.954537	57.178609	56.977597	56.881703	56.945977	57.114874	56.808507	55.088808	58.666935	58.720196	58.611807	58.63234	58.681921	58.623287	57.19285	56.629209	57.285491	57.285491	53.633024	54.039453	53.661917	54.355311	54.77539	53.651839	54.132897	54.19192	54.411072	55.027638	54.401483	54.079357	53.762091	53.094771	53.29	55.497919	55.383946	55.264024	55.418837	55.34754	55.479493	55.274227	55.345802	55.743508	56.318735	56.198014	56.245157	56.094897	55.881551	54.455263	54.188889	54.725527	54.465385	55.363298	54.425089
JZ4_201803_bins_110	63.924084	64.164356	64.126215	64.077577	64.074376	64.06787	64.073625	64.073589	64.083048	64.040544	64.060227	64.206801	64.473301	64.29349	64.482144	64.215811	73.765476	74.526651	74.532298	74.562053	99.94249	100	99.94012	57.171429	56.944996	56.885347	56.955209	57.078464	56.795352	55.012326	58.672952	58.681197	58.636489	58.649215	58.698958	58.638522	57.135332	56.581938	57.298988	57.298988	53.670291	54.056113	53.748692	54.471654	54.769782	53.652852	54.138299	54.338969	54.495153	55.143001	54.336258	54.11572	53.781303	53.120485	53.237994	55.527434	55.455059	55.318286	55.49329	55.415577	55.528087	55.289001	55.356069	55.732646	56.30025	56.178527	56.28847	56.129324	55.874349	54.567051	54.205998	54.816986	54.542352	55.267989	54.559664
JZ4_201808_bins_140	64.01064	64.347821	64.308109	64.233856	64.234175	64.229426	64.230955	64.234902	64.205518	64.117285	64.229104	64.278819	64.491807	64.339978	64.543545	64.268375	73.809412	74.685035	74.73047	74.718472	99.954537	99.94012	100	57.132237	56.926084	56.837957	56.896809	57.018966	56.753858	55.072043	58.644419	58.680628	58.609623	58.62615	58.693142	58.556976	57.15	56.589851	57.305171	57.305171	53.651427	54.004649	53.711806	54.384352	54.715685	53.625415	54.114458	54.184111	54.419045	55.085125	54.26213	54.038019	53.747619	53.030374	53.134086	55.450339	55.398788	55.229135	55.435225	55.372957	55.453618	55.227975	55.320181	55.714806	56.28512	56.119594	56.260167	56.065116	55.836896	54.449456	54.230409	54.82164	54.509365	55.27833	54.449596
GCA_011375275.1	57.26248	57.200441	57.219504	57.220354	57.197799	57.193583	57.196069	57.196069	57.199921	57.170774	57.196069	56.755849	56.872209	56.921754	56.719934	56.85145	57.06607	57.047036	57.028089	57.021938	57.178609	57.171429	57.132237	100	97.384531	97.309247	97.36536	97.316747	97.313324	59.112231	61.333153	61.393618	61.25441	61.460217	61.395324	60.808984	56.741667	56.290648	56.908855	56.908855	53.752917	53.72187	53.946786	54.048759	54.268533	53.768125	54.009946	54.073202	54.375587	53.932899	53.399419	53.132091	53.735865	53.782125	53.654808	54.257351	53.97389	54.200886	54.195153	54.319534	54.260107	53.994535	54.14195	54.796888	54.324707	54.343347	54.319482	54.296822	54.294026	54.25029	54.311322	54.898194	54.16029	54.66173	54.170634
GCA_015485525.1	57.091142	57.027024	57.043256	57.015462	57.005	57.001704	57.004167	57.004167	57.007088	56.978033	57.004167	56.581055	56.762356	56.6709	56.565342	56.647053	56.748871	56.909826	56.860243	56.857964	56.977597	56.944996	56.926084	97.384531	100	99.640463	99.651588	99.648944	99.64219	58.782297	61.022958	61.065857	60.944221	61.115135	61.155354	60.530811	56.438819	56.03562	56.708435	56.708435	53.380119	53.482652	53.608513	53.713966	54.026809	53.725492	53.718833	53.79104	53.84546	53.459147	53.30664	53.016864	53.563261	53.389396	53.489679	53.771539	53.695503	53.838126	53.698362	53.977228	53.921488	53.874229	53.887013	54.675031	54.032102	54.089329	53.888793	54.064534	53.94938	53.957379	54.022588	54.242152	53.818923	54.20613	53.83051
GCA_015487885.1	57.057281	57.033186	57.045314	57.023011	57.013386	57.013163	57.017053	57.016523	57.019715	56.991051	57.017053	56.576171	56.668549	56.568207	56.538659	56.568241	56.67515	56.879583	56.845949	56.832753	56.881703	56.885347	56.837957	97.309247	99.640463	100	99.612796	99.603008	99.592046	58.680551	60.999301	61.017784	60.947291	61.052284	61.040686	60.520823	56.305226	55.960334	56.62025	56.62025	53.517479	53.559728	53.574485	53.747776	53.959631	53.522894	53.734713	53.946715	53.96167	53.459635	53.246232	53.058999	53.501239	53.415036	53.644864	53.91732	53.778844	53.887813	53.815582	54.13837	53.866419	53.80236	53.817122	54.668389	54.031395	54.047304	53.869028	54.044749	54.064389	54.029187	54.075639	54.377907	53.910182	54.271997	53.913442
GCA_015492145.1	57.006042	57.013201	57.024253	56.994122	56.984079	56.978705	56.983278	56.983278	56.986005	56.958546	56.983278	56.558932	56.598276	56.535161	56.486245	56.488738	56.725068	56.896762	56.856316	56.854211	56.945977	56.955209	56.896809	97.36536	99.651588	99.612796	100	99.61968	99.590958	58.630491	61.016039	60.99771	60.966356	61.129345	61.036657	60.558505	56.291583	55.937149	56.636987	56.636987	53.515899	53.476427	53.547826	53.725886	53.949455	53.498643	53.777566	53.862317	53.983168	53.544233	53.246051	53.097462	53.491914	53.430073	53.587008	53.863864	53.737586	53.864612	53.795948	53.996671	54.014598	53.917683	53.887314	54.686643	54.03959	54.047245	53.843634	53.956555	53.997105	53.996794	54.052116	54.39901	53.929893	54.24563	53.858101
GCA_015490415.1	57.182635	57.140113	57.159859	57.141158	57.130665	57.127358	57.129799	57.129799	57.132732	57.108142	57.129799	56.727861	56.767373	56.647506	56.65255	56.649411	56.835405	56.999196	56.982404	56.967338	57.114874	57.078464	57.018966	97.316747	99.648944	99.603008	99.61968	100	99.612107	58.727261	61.174723	61.18217	61.039133	61.189675	61.092364	60.665705	56.337658	55.962816	56.810395	56.810395	53.503368	53.542351	53.636722	53.744195	53.898234	53.516526	53.816747	53.898729	54.054614	53.466189	53.233688	53.082507	53.44542	53.437568	53.583396	53.892857	53.858	53.888721	53.943786	54.286172	53.951134	53.959977	54.011298	54.700188	54.184204	54.242831	54.000271	54.169303	54.041719	54.139521	54.078852	54.506345	54.006793	54.168249	53.877836
GCA_015491795.1	57.00379	57.001661	56.995816	56.978562	56.968609	56.965408	56.967848	56.967848	56.97061	56.943019	56.967848	56.553675	56.579728	56.524205	56.47302	56.515874	56.6123	56.764267	56.714135	56.712918	56.808507	56.795352	56.753858	97.313324	99.64219	99.592046	99.590958	99.612107	100	58.679945	60.947737	61.014442	60.905761	61.052805	61.066807	60.493177	56.275149	55.930402	56.680284	56.680284	53.387642	53.476949	53.487725	53.730241	53.811821	53.433221	53.705902	53.841336	53.92678	53.43539	53.168797	52.933587	53.514364	53.41285	53.527176	53.832309	53.687097	53.789557	53.719475	53.992105	53.90165	53.793653	53.838158	54.642039	54.041473	54.038746	53.810308	54.002088	53.969868	53.998025	54.03132	54.229487	53.928594	54.225857	53.792929
GCA_008501765.1	54.871042	54.921805	54.948886	54.908382	54.902266	54.886846	54.904462	54.904825	54.886478	54.89967	54.912738	54.831697	54.715385	54.822843	54.583212	54.689155	54.677422	54.96488	54.930686	54.935272	55.088808	55.012326	55.072043	59.112231	58.782297	58.680551	58.630491	58.727261	58.679945	100	58.07194	58.020113	57.994275	57.94122	58.064074	57.741933	55.100718	54.729412	54.766075	54.766075	52.832305	52.932854	52.97876	53.193967	53.20864	52.887426	53.044826	53.607112	53.677527	53.038443	52.820179	53.007969	52.90482	53.04248	52.789666	52.886183	52.836889	53.147997	52.964783	52.914804	53.266175	52.587031	52.634833	53.616709	53.505792	53.434463	53.485135	53.399475	53.293929	53.592393	54.38782	53.934149	53.131152	53.829592	53.331646
GCA_015485555.1	58.293719	58.34432	58.311522	58.262424	58.276121	58.29778	58.288781	58.275697	58.313564	58.258389	58.279563	57.70474	57.501008	57.539281	57.610707	57.471208	58.164105	58.417654	58.409953	58.381315	58.666935	58.672952	58.644419	61.333153	61.022958	60.999301	61.016039	61.174723	60.947737	58.07194	100	99.35072	99.496933	99.502179	99.452901	69.368221	57.333822	56.699377	57.670139	57.670139	53.841633	53.908065	54.020543	54.351127	54.495437	53.520299	54.314442	54.362959	54.254222	54.211092	53.548785	53.670778	54.067526	53.905479	54.008575	54.662113	54.769745	54.846437	54.843998	54.997693	54.799401	55.378624	55.429186	56.097427	55.474795	55.521336	55.426983	55.305105	55.139453	54.928139	54.9218	55.006774	54.51411	55.20616	54.634529
GCA_015493075.1	58.347793	58.354437	58.340443	58.293827	58.29705	58.318908	58.298955	58.29662	58.33467	58.28161	58.300431	57.777711	57.565456	57.602472	57.612979	57.551292	58.178015	58.478039	58.475519	58.446065	58.720196	58.681197	58.680628	61.393618	61.065857	61.017784	60.99771	61.18217	61.014442	58.020113	99.35072	100	99.488735	99.45086	99.442751	69.269644	57.294683	56.653409	57.644598	57.644598	53.739252	53.979899	54.021301	54.315677	54.489447	53.564286	54.334962	54.344705	54.377586	54.233115	53.579791	53.755288	54.198796	53.891921	54.019239	54.673565	54.794166	54.882801	54.868249	54.957859	54.8169	55.349679	55.465024	56.032421	55.587008	55.603817	55.478043	55.397046	55.124078	54.976833	54.946814	55.001529	54.645929	55.166407	54.678741
