SampleID	Size	Description	99%	97%	RA	latitude	longitude	type	order
SRR1786031	767805	hydrothermal vent metagenome	0	22	0.0029%	9.55	-13.18	hydrothermal_system	O3
SRR1786039	522538	hydrothermal vent metagenome	0	21	0.0040%	9.55	-13.18	hydrothermal_system	O3
SRR2059659	33098	hot springs metagenome	0	21	0.0634%	missing	missing	hydrothermal_system	O3
ERR1665230	357275	hydrothermal vent metagenome	0	20	0.0056%	-3.728875	151.672122	hydrothermal_system	O3
SRR1786034	558455	hydrothermal vent metagenome	0	19	0.0034%	9.55	-13.18	hydrothermal_system	O3
SRR1786037	772740	hydrothermal vent metagenome	0	18	0.0023%	9.55	-13.18	hydrothermal_system	O3
SRR1786043	456575	hydrothermal vent metagenome	0	11	0.0024%	4.8058	-12.3742	hydrothermal_system	O3
SRR2059674	36267	hot springs metagenome	0	11	0.0303%	missing	missing	hydrothermal_system	O3
SRR1575390	17179	hydrothermal vent metagenome	0	8	0.0466%	-37.78	49.64	hydrothermal_system	O3
SRR1786047	841011	hydrothermal vent metagenome	0	8	0.0010%	4.8058	-12.3742	hydrothermal_system	O3
SRR2059673	43926	hot springs metagenome	0	7	0.0159%	missing	missing	hydrothermal_system	O3
SRR1786052	1085710	hydrothermal vent metagenome	0	6	0.0006%	8.3	-13.52	hydrothermal_system	O3
ERR1665276	244669	hydrothermal vent metagenome	0	5	0.0020%	-3.726833	151.672144	hydrothermal_system	O3
SRR1786041	587262	hydrothermal vent metagenome	0	3	0.0005%	4.8058	-12.3742	hydrothermal_system	O3
ERR1665229	20906	hydrothermal vent metagenome	0	2	0.0096%	-3.7268905	151.6720235	hydrothermal_system	O3
ERR1665255	142280	hydrothermal vent metagenome	0	2	0.0014%	-3.7994	152.1007167	hydrothermal_system	O3
ERR1665257	43651	hydrothermal vent metagenome	0	2	0.0046%	-3.7994	152.1007167	hydrothermal_system	O3
ERR1665260	19784	hydrothermal vent metagenome	0	2	0.0101%	-3.799916667	152.10085	hydrothermal_system	O3
SRR2059439	37878	hot springs metagenome	0	2	0.0053%	40.40466	-119.21836	hydrothermal_system	O3
SRR2059658	34654	hot springs metagenome	0	2	0.0058%	missing	missing	hydrothermal_system	O3
SRR1786041	587262	hydrothermal vent metagenome	0	12	0.0020%	4.8058	-12.3742	hydrothermal_system	O5
SRR1786037	772740	hydrothermal vent metagenome	0	5	0.0006%	9.55	-13.18	hydrothermal_system	O5
ERR1665245	207829	hydrothermal vent metagenome	0	3	0.0014%	-3.800638	152.100281	hydrothermal_system	O5
ERR1665235	127208	hydrothermal vent metagenome	0	2	0.0016%	-3.728289167	151.6723802	hydrothermal_system	O5
SRR2059609	20024	hot springs metagenome	1024	1024	5.1139%	41.31294	-120.04251	hydrothermal_system	O1
SRR2059628	35865	hot springs metagenome	968	968	2.6990%	missing	missing	hydrothermal_system	O1
SRR2059633	32039	hot springs metagenome	34	34	0.1061%	missing	missing	hydrothermal_system	O1
SRR2059632	27369	hot springs metagenome	0	29	0.1060%	missing	missing	hydrothermal_system	O1
SRR2059608	29653	hot springs metagenome	17	17	0.0573%	41.12626	-120.03402	hydrothermal_system	O1
SRR2059631	31655	hot springs metagenome	6	6	0.0190%	missing	missing	hydrothermal_system	O1
SRR2059629	27540	hot springs metagenome	5	5	0.0182%	missing	missing	hydrothermal_system	O1
SRR1514359	4415	hot springs metagenome	0	2	0.0453%	60.3781667	-125.5765167	hydrothermal_system	O1
SRR2059628	35865	hot springs metagenome	0	890	2.4815%	missing	missing	hydrothermal_system	O1
SRR2059621	36431	hot springs metagenome	0	830	2.2783%	41.32096	-120.04372	hydrothermal_system	O1
SRR2059633	32039	hot springs metagenome	0	144	0.4495%	missing	missing	hydrothermal_system	O1
SRR2059658	34654	hot springs metagenome	0	24	0.0693%	missing	missing	hydrothermal_system	O1
SRR2059627	27887	hot springs metagenome	0	15	0.0538%	missing	missing	hydrothermal_system	O1
SRR1514360	4242	hot springs metagenome	0	7	0.1650%	60.3781667	-125.5765167	hydrothermal_system	O1
SRR2059439	37878	hot springs metagenome	0	6	0.0158%	40.40466	-119.21836	hydrothermal_system	O1
SRR2059631	31655	hot springs metagenome	0	6	0.0190%	missing	missing	hydrothermal_system	O1
SRR2059435	34477	hot springs metagenome	0	250	0.7251%	40.39763	-119.22018	hydrothermal_system	O4
SRR2059436	33943	hot springs metagenome	0	165	0.4861%	40.39687	-119.2197	hydrothermal_system	O4
SRR2059438	31040	hot springs metagenome	0	100	0.3222%	40.40454	-119.21851	hydrothermal_system	O4
SRR2059673	43926	hot springs metagenome	0	73	0.1662%	missing	missing	hydrothermal_system	O4
SRR2059620	31185	hot springs metagenome	0	47	0.1507%	41.32052	-120.04386	hydrothermal_system	O4
SRR2059672	40655	hot springs metagenome	0	28	0.0689%	missing	missing	hydrothermal_system	O4
SRR2059658	34654	hot springs metagenome	0	18	0.0519%	missing	missing	hydrothermal_system	O4
ERR3346732	56604	hot springs metagenome	15	15	0.0265%	33.22356	78.32858	hydrothermal_system	O4
SRR2059664	37397	hot springs metagenome	0	13	0.0348%	missing	missing	hydrothermal_system	O4
SRR2059659	33098	hot springs metagenome	0	10	0.0302%	missing	missing	hydrothermal_system	O4
SRR2059668	36646	hot springs metagenome	0	10	0.0273%	40.39158	-119.22468	hydrothermal_system	O4
SRR2059442	36218	hot springs metagenome	0	8	0.0221%	40.51556	-119.19917	hydrothermal_system	O4
SRR2059607	25980	hot springs metagenome	0	3	0.0115%	41.12626	-120.03402	hydrothermal_system	O4
ERR3346730	89028	hot springs metagenome	2	2	0.0022%	33.22356	78.32858	hydrothermal_system	O4
SRR2059664	37397	hot springs metagenome	13	13	0.0348%	missing	missing	hydrothermal_system	O4
SRR2059663	32024	hot springs metagenome	6	6	0.0187%	missing	missing	hydrothermal_system	O4
SRR2059672	40655	hot springs metagenome	3	3	0.0074%	missing	missing	hydrothermal_system	O4
SRR2059621	36431	hot springs metagenome	74	74	0.2031%	41.32096	-120.04372	hydrothermal_system	O1
SRR2059633	32039	hot springs metagenome	31	31	0.0968%	missing	missing	hydrothermal_system	O1
SRR2059628	35865	hot springs metagenome	24	24	0.0669%	missing	missing	hydrothermal_system	O1
SRR1623107	128779	marine sediment metagenome	0	40	0.0311%	32.5576	-80.4365	marine	O3
SRR1623098	75967	marine sediment metagenome	0	20	0.0263%	32.5576	-80.4365	marine	O3
SRR1623115	232201	marine sediment metagenome	0	17	0.0073%	32.5576	-80.4365	marine	O3
SRR1623106	163607	marine sediment metagenome	0	15	0.0092%	32.5576	-80.4365	marine	O3
SRR1623117	116575	marine sediment metagenome	0	15	0.0129%	32.5576	-80.4365	marine	O3
SRR1623091	104406	marine sediment metagenome	0	12	0.0115%	32.5576	-80.4365	marine	O3
SRR1623108	93756	marine sediment metagenome	0	12	0.0128%	32.5576	-80.4365	marine	O3
SRR1623096	100087	marine sediment metagenome	0	11	0.0110%	32.5576	-80.4365	marine	O3
SRR1623140	101556	marine sediment metagenome	0	10	0.0098%	32.5576	-80.4365	marine	O3
SRR1623119	144803	marine sediment metagenome	0	7	0.0048%	32.5576	-80.4365	marine	O3
SRR1623143	131930	marine sediment metagenome	0	7	0.0053%	32.5576	-80.4365	marine	O3
SRR1623114	112224	marine sediment metagenome	0	6	0.0053%	32.5576	-80.4365	marine	O3
SRR1623112	48083	marine sediment metagenome	0	5	0.0104%	32.5576	-80.4365	marine	O3
SRR1623134	72920	marine sediment metagenome	0	5	0.0069%	32.5576	-80.4365	marine	O3
SRR7187316	85519	marine metagenome	12764	12764	14.9253%	47.45	-127.45	marine	O6
SRR7187318	18182	marine metagenome	309	309	1.6995%	47.45	-127.45	marine	O6
SRR7187322	48091	marine metagenome	9	9	0.0187%	47.45	-127.45	marine	O6
SRR7187321	34685	marine metagenome	0	5	0.0144%	47.45	-127.45	marine	O6
SRR5178035	42729	marine metagenome	2	2	0.0047%	21.45	72.14	marine	O6
ERR126156	4397	marine sediment metagenome	63	63	1.4328%	27.07	-111.24	marine	O6
ERR126156	4397	marine sediment metagenome	63	63	1.4328%	27.07	-111.24	marine	O6
SRR1221656	5324	marine sediment metagenome	43	43	0.8077%	27	-111.24	marine	O6
SRR1221684	5915	marine sediment metagenome	28	28	0.4734%	27	-111.24	marine	O6
SRR1221678	5334	marine sediment metagenome	27	27	0.5062%	27	-111.24	marine	O6
ERR126157	5031	marine sediment metagenome	24	24	0.4770%	27.07	-111.24	marine	O6
ERR126157	5031	marine sediment metagenome	24	24	0.4770%	27.07	-111.24	marine	O6
SRR1221645	5889	marine sediment metagenome	24	24	0.4075%	27	-111.24	marine	O6
SRR5465810	44565	marine metagenome	2	2	0.0045%	6.595	60.22	marine	O6
SRR5465810	44565	marine metagenome	2	2	0.0045%	6.595	60.22	marine	O7
SRR5188901	244922	marine metagenome	0	3	0.0012%	22.040001	38.961111	marine	O1
SRR6320180	45099	marine metagenome	0	2	0.0044%	60.25	25.3	marine	O1
SRR6457340	57781	marine metagenome	2	2	0.0035%	27.99	-87.5	marine	O1
ERR126156	4397	marine sediment metagenome	63	63	1.4328%	27.07	-111.24	marine	O6
ERR126156	4397	marine sediment metagenome	63	63	1.4328%	27.07	-111.24	marine	O6
ERR126157	5031	marine sediment metagenome	24	24	0.4770%	27.07	-111.24	marine	O6
ERR126157	5031	marine sediment metagenome	24	24	0.4770%	27.07	-111.24	marine	O6
SRR8591396	5987209	marine metagenome	2268	2268	0.0379%	40.284338	50.932697	marine	O2
SRR6396242	782275	marine metagenome	0	1320	0.1687%	missing	missing	marine	O2
SRR3884390	76027	marine metagenome	0	1188	1.5626%	12.5790415	-116.7238118	marine	O2
SRR3884467	61904	marine metagenome	0	1019	1.6461%	19.45054	-120.06081	marine	O2
SRR3884442	80660	marine metagenome	0	902	1.1183%	12.5967906	-116.4936245	marine	O2
SRR3884458	69503	marine metagenome	0	833	1.1985%	12.0092041	-117.3803185	marine	O2
SRR3884454	48062	marine metagenome	0	647	1.3462%	12.0545658	-117.2517515	marine	O2
SRR3884459	42563	marine metagenome	0	621	1.4590%	19.4504667	-120.04425	marine	O2
SRR3884465	88974	marine metagenome	0	602	0.6766%	12.58255	-116.6509667	marine	O2
SRR3884447	63243	marine metagenome	0	583	0.9218%	19.4504667	-120.04425	marine	O2
SRR1980917	105437	marine metagenome	573	573	0.5435%	13.79	-116.7	marine	O2
SRR1980888	117184	marine metagenome	568	568	0.4847%	13.82	-116.53	marine	O2
SRR3884466	59059	marine metagenome	0	566	0.9584%	19.45054	-120.06081	marine	O2
SRR3884401	71371	marine metagenome	0	565	0.7916%	12.3709188	-116.6136465	marine	O2
SRR3884441	74717	marine metagenome	0	551	0.7374%	12.5211667	-116.6981	marine	O2
SRR3884456	50888	marine metagenome	0	546	1.0729%	12.0545658	-117.2517515	marine	O2
SRR1980893	84837	marine metagenome	541	541	0.6377%	13.81	-116.71	marine	O2
SRR3884431	75844	marine metagenome	0	534	0.7041%	12.4521414	-116.5123096	marine	O2
SRR3884436	73385	marine metagenome	0	524	0.7140%	12.1900791	-117.3713818	marine	O2
SRR3884455	56730	marine metagenome	0	521	0.9184%	12.0545658	-117.2517515	marine	O2
SRR3884453	54790	marine metagenome	0	514	0.9381%	12.0545658	-117.2517515	marine	O2
SRR3884443	52112	marine metagenome	0	511	0.9806%	12.5967906	-116.4936245	marine	O2
SRR1980915	102874	marine metagenome	485	485	0.4715%	13.86	-116.55	marine	O2
SRR3884429	70859	marine metagenome	0	483	0.6816%	12.4509842	-116.5944928	marine	O2
SRR3884430	66454	marine metagenome	0	460	0.6922%	12.4509842	-116.5944928	marine	O2
SRR1980882	72477	marine metagenome	456	456	0.6292%	13.79	-116.7	marine	O2
SRR1980903	87875	marine metagenome	456	456	0.5189%	13.75	-116.51	marine	O2
SRR3884446	56018	marine metagenome	0	437	0.7801%	12.0998266	-117.1966567	marine	O2
SRR2827641	639065	marine sediment metagenome	430	430	0.0673%	-72.297446	-104.29808	marine	O2
SRR1980910	85527	marine metagenome	420	420	0.4911%	13.81	-116.71	marine	O2
SRR3884427	38758	marine metagenome	0	408	1.0527%	12.1449215	-117.3253643	marine	O2
SRR1980889	93780	marine metagenome	396	396	0.4223%	13.81	-116.71	marine	O2
SRR1980887	101653	marine metagenome	395	395	0.3886%	13.82	-116.53	marine	O2
SRR1980918	98925	marine metagenome	385	385	0.3892%	13.79	-116.7	marine	O2
SRR1980901	44064	marine metagenome	380	380	0.8624%	13.75	-116.51	marine	O2
SRR6419778	123067	marine sediment metagenome	368	368	0.2990%	76.54	7.07	marine	O2
SRR1980904	51827	marine metagenome	355	355	0.6850%	13.75	-116.51	marine	O2
SRR6371305	84017	marine metagenome	346	346	0.4118%	88.81	57.74	marine	O2
SRR8489988	134059	marine sediment metagenome	345	345	0.2573%	41.145	2.8925	marine	O2
SRR3884461	64309	marine metagenome	0	344	0.5349%	12.0092041	-117.3803185	marine	O2
SRR1980911	101627	marine metagenome	336	336	0.3306%	13.9	-116.59	marine	O2
SRR2827644	802437	marine sediment metagenome	330	330	0.0411%	-75.198083	-176.592676	marine	O2
SRR1980920	45307	marine metagenome	329	329	0.7262%	13.79	-116.7	marine	O2
SRR6171699	179083	marine sediment metagenome	328	328	0.1832%	28.9401	-87.5824	marine	O2
SRR1980886	66068	marine metagenome	325	325	0.4919%	13.82	-116.53	marine	O2
SRR8489999	141406	marine sediment metagenome	322	322	0.2277%	41.145	2.8925	marine	O2
SRR3884388	50127	marine metagenome	0	321	0.6404%	12.5790415	-116.7238118	marine	O2
SRR3884438	50809	marine metagenome	0	321	0.6318%	12.4433002	-116.6411438	marine	O2
SRR1980902	67871	marine metagenome	315	315	0.4641%	13.75	-116.51	marine	O2
SRR3884392	52922	marine metagenome	0	314	0.5933%	12.4162588	-116.7147842	marine	O2
SRR3884451	73706	marine metagenome	0	302	0.4097%	12.1359859	-117.2150647	marine	O2
SRR6171700	213376	marine sediment metagenome	300	300	0.1406%	28.9401	-87.5824	marine	O2
SRR2827633	715742	marine sediment metagenome	292	292	0.0408%	-76.200297	170.510297	marine	O2
SRR3884462	58672	marine metagenome	0	286	0.4875%	12.0273601	-117.3252223	marine	O2
SRR1980919	61066	marine metagenome	271	271	0.4438%	13.79	-116.7	marine	O2
SRR3884428	44400	marine metagenome	0	269	0.6059%	12.4509842	-116.5944928	marine	O2
SRR3884432	70967	marine metagenome	0	259	0.3650%	12.4521414	-116.5123096	marine	O2
SRR3884396	65889	marine metagenome	0	258	0.3916%	12.367	-116.517	marine	O2
SRR8361193	95701	marine sediment metagenome	0	258	0.2696%	27.25	-86.19	marine	O2
SRR3884423	29167	marine metagenome	0	256	0.8777%	12.2172665	-117.3254524	marine	O2
SRR1980876	69997	marine metagenome	251	251	0.3586%	13.85	-116.63	marine	O2
SRR3884448	69278	marine metagenome	0	251	0.3623%	12.0998266	-117.1966567	marine	O2
SRR3884449	74192	marine metagenome	0	251	0.3383%	12.1359859	-117.2150647	marine	O2
SRR8489994	134493	marine sediment metagenome	250	250	0.1859%	41.145	2.8925	marine	O2
SRR5465785	69157	marine metagenome	102	249	0.3601%	38.953	47.407	marine	O2
SRR5465785	69157	marine metagenome	102	249	0.3601%	38.953	47.407	marine	O2
SRR6419779	87686	marine sediment metagenome	0	244	0.2783%	76.54	7.07	marine	O2
SRR1980907	82625	marine metagenome	241	241	0.2917%	13.89	-116.69	marine	O2
SRR1980891	96752	marine metagenome	232	232	0.2398%	13.82	-116.53	marine	O2
SRR3884444	82227	marine metagenome	0	232	0.2821%	12.5967906	-116.4936245	marine	O2
ERR1716667	170269	marine sediment metagenome	0	228	0.1339%	79.0651	4.181	marine	O2
ERR1716709	165818	marine sediment metagenome	0	228	0.1375%	79.0651	4.181	marine	O2
SRR6173628	132998	marine sediment metagenome	226	226	0.1699%	28.6365	-87.8685	marine	O2
SRR3884412	51339	marine metagenome	0	223	0.4344%	12.1811624	-117.2610625	marine	O2
SRR2827643	498199	marine sediment metagenome	221	221	0.0444%	-73.29565	-129.5568	marine	O2
SRR8490011	150084	marine sediment metagenome	218	218	0.1453%	41.145	2.8925	marine	O2
SRR3884418	38056	marine metagenome	0	217	0.5702%	12.0817524	-117.1782657	marine	O2
SRR3884439	66781	marine metagenome	0	214	0.3205%	12.4433002	-116.6411438	marine	O2
SRR6173681	113043	marine sediment metagenome	212	212	0.1875%	28.9164	-87.6691	marine	O2
SRR8361315	74752	marine sediment metagenome	0	207	0.2769%	27.9	-86.76	marine	O2
SRR8361209	54695	marine sediment metagenome	0	202	0.3693%	27.72	-86.54	marine	O2
SRR1980884	63686	marine metagenome	199	199	0.3125%	13.82	-116.53	marine	O2
SRR5465780	85608	marine metagenome	89	199	0.2325%	38.319	47.965	marine	O2
SRR5465780	85608	marine metagenome	89	199	0.2325%	38.319	47.965	marine	O2
SRR8361162	102994	marine sediment metagenome	0	192	0.1864%	25.52	-85.15	marine	O2
SRR3884445	58773	marine metagenome	0	186	0.3165%	12.0998266	-117.1966567	marine	O2
SRR8361271	170631	marine sediment metagenome	0	185	0.1084%	27.91	-86.75	marine	O2
SRR3884408	78133	marine metagenome	0	183	0.2342%	12.579001	-116.6869871	marine	O2
SRR6171735	178524	marine sediment metagenome	183	183	0.1025%	28.9401	-87.5824	marine	O2
SRR8361180	126316	marine sediment metagenome	0	182	0.1441%	27.47	-86.11	marine	O2
SRR3884424	38714	marine metagenome	0	179	0.4624%	12.2172665	-117.3254524	marine	O2
SRR8361247	134424	marine sediment metagenome	0	179	0.1332%	26.06	-86.35	marine	O2
SRR3884419	43706	marine metagenome	0	177	0.4050%	12.0817524	-117.1782657	marine	O2
SRR6171693	204511	marine sediment metagenome	177	177	0.0865%	28.9401	-87.5824	marine	O2
SRR6173712	131233	marine sediment metagenome	177	177	0.1349%	28.6365	-87.8685	marine	O2
SRR2827640	525941	marine sediment metagenome	176	176	0.0335%	-72.46007	-104.35535	marine	O2
SRR8489996	116976	marine sediment metagenome	176	176	0.1505%	41.145	2.8925	marine	O2
SRR8490022	99206	marine sediment metagenome	176	176	0.1774%	41.145	2.8925	marine	O2
SRR6171694	162293	marine sediment metagenome	175	175	0.1078%	28.9401	-87.5824	marine	O2
SRR6171740	206270	marine sediment metagenome	175	175	0.0848%	28.9401	-87.5824	marine	O2
SRR3884403	56531	marine metagenome	0	172	0.3043%	12.3709188	-116.6136465	marine	O2
SRR6173682	102562	marine sediment metagenome	170	170	0.1658%	28.9164	-87.6691	marine	O2
SRR6173771	118408	marine sediment metagenome	168	168	0.1419%	28.9164	-87.6691	marine	O2
SRR2827632	760524	marine sediment metagenome	167	167	0.0220%	-73.158249	129.26919	marine	O2
SRR3884410	51329	marine metagenome	0	167	0.3254%	12.1177699	-117.3437114	marine	O2
SRR8490021	87458	marine sediment metagenome	163	163	0.1864%	41.145	2.8925	marine	O2
SRR1980914	101155	marine metagenome	161	161	0.1592%	13.9	-116.59	marine	O2
SRR6173675	113377	marine sediment metagenome	160	160	0.1411%	28.9164	-87.6691	marine	O2
SRR6173713	96255	marine sediment metagenome	159	159	0.1652%	28.6365	-87.8685	marine	O2
SRR8489998	89469	marine sediment metagenome	159	159	0.1777%	41.145	2.8925	marine	O2
SRR1980905	64530	marine metagenome	158	158	0.2448%	13.89	-116.69	marine	O2
SRR6371303	50398	marine metagenome	158	158	0.3135%	87.93	61.04	marine	O2
SRR6173759	108193	marine sediment metagenome	157	157	0.1451%	28.9164	-87.6691	marine	O2
SRR8489989	117712	marine sediment metagenome	156	156	0.1325%	41.145	2.8925	marine	O2
SRR2827635	675023	marine sediment metagenome	154	154	0.0228%	-70.48438	95.19565	marine	O2
SRR6171738	172943	marine sediment metagenome	152	152	0.0879%	28.9401	-87.5824	marine	O2
SRR6173627	118761	marine sediment metagenome	150	150	0.1263%	28.6365	-87.8685	marine	O2
SRR6173692	127111	marine sediment metagenome	149	149	0.1172%	28.6365	-87.8685	marine	O2
SRR1980879	55509	marine metagenome	148	148	0.2666%	13.85	-116.63	marine	O2
SRR6173765	125404	marine sediment metagenome	148	148	0.1180%	28.9164	-87.6691	marine	O2
SRR1980908	76025	marine metagenome	147	147	0.1934%	13.86	-116.55	marine	O2
SRR3884400	73272	marine metagenome	0	147	0.2006%	12.4068765	-116.4847942	marine	O2
SRR3884433	60750	marine metagenome	0	146	0.2403%	12.5697613	-116.5389	marine	O2
SRR5465784	74899	marine metagenome	69	144	0.1923%	34.299	55.584	marine	O2
SRR5465784	74899	marine metagenome	69	144	0.1923%	34.299	55.584	marine	O2
SRR5465783	83102	marine metagenome	69	143	0.1721%	34.819	54.684	marine	O2
SRR5465783	83102	marine metagenome	69	143	0.1721%	34.819	54.684	marine	O2
SRR6171701	139473	marine sediment metagenome	142	142	0.1018%	28.9401	-87.5824	marine	O2
SRR6171695	179652	marine sediment metagenome	140	140	0.0779%	28.9401	-87.5824	marine	O2
SRR6171739	118526	marine sediment metagenome	140	140	0.1181%	28.9401	-87.5824	marine	O2
SRR3884440	59989	marine metagenome	0	139	0.2317%	12.5211667	-116.6981	marine	O2
SRR1980880	43334	marine metagenome	138	138	0.3185%	13.79	-116.7	marine	O2
SRR6171736	184867	marine sediment metagenome	136	136	0.0736%	28.9401	-87.5824	marine	O2
SRR6173679	105903	marine sediment metagenome	136	136	0.1284%	28.9164	-87.6691	marine	O2
SRR8489995	88451	marine sediment metagenome	135	135	0.1526%	41.145	2.8925	marine	O2
SRR8361169	96264	marine sediment metagenome	0	133	0.1382%	25.15	-85.03	marine	O2
SRR6173567	113850	marine sediment metagenome	132	132	0.1159%	28.9164	-87.6691	marine	O2
SRR6171666	115424	marine sediment metagenome	130	130	0.1126%	28.9401	-87.5824	marine	O2
SRR6173711	131016	marine sediment metagenome	130	130	0.0992%	28.6365	-87.8685	marine	O2
SRR3884463	40638	marine metagenome	0	129	0.3174%	12.0273601	-117.3252223	marine	O2
SRR6173718	121322	marine sediment metagenome	129	129	0.1063%	28.6365	-87.8685	marine	O2
SRR6171667	111827	marine sediment metagenome	128	128	0.1145%	28.9401	-87.5824	marine	O2
SRR6173716	168160	marine sediment metagenome	127	127	0.0755%	28.6365	-87.8685	marine	O2
SRR6171688	178788	marine sediment metagenome	126	126	0.0705%	28.9401	-87.5824	marine	O2
SRR6171737	164383	marine sediment metagenome	125	125	0.0760%	28.9401	-87.5824	marine	O2
SRR6171799	118739	marine sediment metagenome	124	124	0.1044%	28.9401	-87.5824	marine	O2
SRR3884414	59138	marine metagenome	0	123	0.2080%	12.1811624	-117.2610625	marine	O2
SRR6171747	109274	marine sediment metagenome	123	123	0.1126%	29.0003	-87.5074	marine	O2
SRR1980881	55461	marine metagenome	122	122	0.2200%	13.79	-116.7	marine	O2
SRR6171649	102678	marine sediment metagenome	122	122	0.1188%	28.9401	-87.5824	marine	O2
SRR6171783	135673	marine sediment metagenome	121	121	0.0892%	29.0003	-87.5074	marine	O2
SRR3884131	37621	marine metagenome	0	120	0.3190%	12.4433002	-116.6411438	marine	O2
SRR3884416	38573	marine metagenome	0	118	0.3059%	12.0094059	-117.178218	marine	O2
