MAGs	Genome_size	GC	Order
bak_JZ2_201705_bins_219	5563722	45.94	All
bak_JZ2_201705_bins_85	3702765	59.85	All
bak_JZ2_201709_bins_23	3411971	62.27	All
bak_JZ2_201808_bins_10	5906968	60.06	All
bak_JZ2_201808_bins_48	3062127	59.87	All
bak_JZ2_201901_bins_130	5955707	60.04	All
bak_JZ2_201907_bins_186	5903039	60.04	All
bak_JZ2_201907_bins_62	2936451	59.94	All
bak_JZ2_201912_bins_68	5751944	60.04	All
bak_JZ2_202007_bins_101	5857296	53.41	All
bak_JZ2_202007_bins_144	5856860	60.07	All
bak_JZ2_202101_bins_2	5989938	53.36	All
bak_JZ2_202101_bins_52	5852548	60.05	All
bak_JZ4_201709_bins_129	4652066	45.68	All
bak_JZ4_201709_bins_165	5640467	60	All
bak_JZ4_201709_bins_45	5943506	51.39	All
bak_JZ4_201803_bins_110	5713613	51.37	All
bak_JZ4_201803_bins_154	4157021	47.62	All
bak_JZ4_201803_bins_238	4307244	45.79	All
bak_JZ4_201803_bins_290	6005874	59.94	All
bak_JZ4_201808_bins_132	2946788	59.95	All
bak_JZ4_201808_bins_140	5897230	51.39	All
bak_JZ4_201808_bins_206	4322460	45.69	All
bak_JZ4_201808_bins_213	5894752	60.07	All
bak_SRBZ_201705_bins_74	3727513	53.58	All
bak_SZTDM2_201709_bins_136	3479748	59.82	All
bak_ZMQR_201803_bins_22	5589360	60.22	All
